,MEDIO_PREDOMINANTE,LATITUD_ORIGEN,LATITUD_DESTINO,LONGITUD_ORIGEN,LONGITUD_DESTINO,DIFERENCIA_HORAS,tiempo_recorrido,distancia_km,velocidad km/h
162,AUTO,4.6835635649,4.6171237415664,-74.0545391896,-74.173603896033,01:20:00,1.3333333333333333,15.140071227271823,11.355053420453869
163,TPC-SITP,4.6462045286051,4.7342790199425,-74.130608310994,-74.066940417458,02:30:00,2.5,12.084007628480773,4.833603051392309
164,TPC-SITP,4.7342790199425,4.6171237415664,-74.066940417458,-74.173603896033,02:00:00,2.0,17.610629716585855,8.805314858292927
165,AUTO,4.6167876838412,4.6284531052965,-74.173382511631,-74.170732003274,00:49:00,0.8166666666666667,1.3314759584242384,1.6303787246011083
166,AUTO,4.6284531052965,4.6167876838412,-74.170732003274,-74.173382511631,00:49:00,0.8166666666666667,1.3314759584242384,1.6303787246011083
167,AUTO,4.6167876838412,4.6138873516375,-74.173382511631,-74.161645056401,00:15:00,0.25,1.3417953640652294,5.3671814562609175
168,PEATON,4.6138873516375,4.6167876838412,-74.161645056401,-74.173382511631,00:50:00,0.8333333333333334,1.3417953640652294,1.6101544368782752
169,ALIMENTADOR,4.6427456129306,4.6213907289849,-74.135072946033,-74.085993214844,02:48:00,2.8,5.941946928155204,2.122123902912573
170,ALIMENTADOR,4.6213907289849,4.6426873507253,-74.085993214844,-74.135266344903,01:00:00,1.0,5.959036675511326,5.959036675511326
171,TPC-SITP,4.6427456129306,4.6311084470139,-74.135072946033,-74.144940840427,01:00:00,1.0,1.6961641382125678,1.6961641382125678
172,TPC-SITP,4.6311084470139,4.6426873507253,-74.144940840427,-74.135266344903,01:00:00,1.0,1.6774032691911824,1.6774032691911824
173,Transmilenio,4.6426873507253,4.6557047644616,-74.135266344903,-74.061107978617,01:16:00,1.2666666666666666,8.354748171813505,6.595853819852767
174,Transmilenio,4.6557047644616,4.6426873507253,-74.061107978617,-74.135266344903,01:30:00,1.5,8.354748171813505,5.569832114542336
175,AUTO,4.6064768799974,4.6857887072869,-74.174727784587,-74.157183159853,02:03:00,2.05,9.04101834337578,4.41025285042721
176,AUTO,4.6857887072869,4.686340949056,-74.157183159853,-74.156520847295,01:46:00,1.7666666666666666,0.09580612490741147,0.0542298820230631
177,OTROS,4.6083920156294,4.6859036947279,-74.172658118876,-74.157269680876,01:00:00,1.0,8.795878158908938,8.795878158908938
178,AUTO,4.6859036947279,4.6083920156294,-74.157269680876,-74.172658118876,00:12:00,0.2,8.795878158908938,43.979390794544685
179,AUTO,4.6055929066626,4.6857887072869,-74.175149658982,-74.157183159853,01:41:00,1.6833333333333333,9.147225504854186,5.433995349418328
180,AUTO,4.6857887072869,4.6083920156294,-74.157183159853,-74.172658118876,00:17:00,0.2833333333333333,8.785192826074566,31.00656291555729
181,AUTO,4.6083920156294,4.69117291778,-74.172658118876,-74.1609378627,01:41:00,1.6833333333333333,9.306440576118591,5.52857856007045
182,AUTO,4.69117291778,4.6083920156294,-74.1609378627,-74.172658118876,00:17:00,0.2833333333333333,9.306440576118591,32.846260856889145
183,PEATON,4.6111395088229,4.6358205046214,-74.174017672359,-74.158311289137,01:39:00,1.65,3.2535799924088598,1.9718666620659757
184,PEATON,4.6358205046214,4.6111395088229,-74.158311289137,-74.174017672359,01:39:00,1.65,3.2535799924088598,1.9718666620659757
185,OTROS,4.6111395088229,4.600626237761,-74.174017672359,-74.106835590422,02:35:00,2.5833333333333335,7.545842880992653,2.920971437803608
186,OTROS,4.600626237761,4.6111395088229,-74.106835590422,-74.174017672359,02:35:00,2.5833333333333335,7.545842880992653,2.920971437803608
187,TPC-SITP,4.6428337515408,4.6362580410269,-74.135424596624,-74.092052571483,01:01:00,1.0166666666666666,4.86769172908978,4.787893504022735
188,TPC-SITP,4.6362580410269,4.6428337515408,-74.092052571483,-74.135424596624,01:35:00,1.5833333333333335,4.86769172908978,3.0743316183724927
189,TPC-SITP,4.6431888559029,4.6187248476923,-74.135691775503,-74.153279505053,01:18:00,1.3,3.350331706711019,2.577178235931553
190,TPC-SITP,4.6187248476923,4.6431888559029,-74.153279505053,-74.135691775503,01:02:00,1.0333333333333334,3.350331706711019,3.2422564903655022
191,TPC-SITP,4.6431888559029,4.6204663516162,-74.135691775503,-74.150041390955,00:59:00,0.9833333333333333,2.988845872818337,3.039504277442377
